"S1","S2"
76,81
79,68
77,90
82,70
80,80
75,82
96,85
81,87
81,95
76,83
80,69
91,76
97,92
78,74
104,79
75,103
83,66
90,91
86,87
87,82
74,96
79,72
88,90
82,87
70,85
77,79
79,78
66,78
86,83
77,54
82,81
83,84
64,74
90,73
75,83
81,92
85,80
109,69
71,101
64,88
91,77
70,74
77,99
76,78
82,96
87,79
78,90
96,82
63,82
82,72
76,83
71,90
79,70
83,82
77,67
76,77
72,77
91,82
59,79
91,79
87,83
76,84
83,71
85,70
76,67
79,77
62,83
75,70
79,75
84,71
85,80
72,79
76,75
81,72
70,83
90,90
85,78
73,78
81,78
87,75
80,79
99,71
61,78
87,86
68,71
82,71
99,93
74,77
84,88
78,75
85,87
86,76
71,84
86,88
84,73
78,78
89,83
88,78
83,72
76,71
73,88
76,84
90,86
83,64
72,87
78,78
85,78
94,79
78,88
74,76
85,79
95,94
85,78
91,76
77,84
67,80
61,68
78,69
80,67
82,83
77,89
80,78
82,80
82,80
81,70
70,82
72,83
92,82
72,70
92,81
96,86
89,80
94,82
72,76
82,88
83,53
77,88
77,65
60,87
80,93
83,76
87,94
92,78
80,81
105,93
85,93
82,92
78,89
92,79
86,89
83,72
74,69
62,75
72,96
90,81
68,92
93,91
85,73
84,77
70,96
75,91
76,81
86,74
91,65
77,85
84,73
91,80
79,79
89,78
82,79
78,73
77,75
78,76
89,74
80,80
96,83
78,75
64,67
75,69
72,86
73,99
91,79
87,74
98,92
79,76
78,83
67,77
97,90
74,88
70,73
79,76
96,79
72,68
83,66
84,77
85,86
70,80
70,72
88,65
65,82
72,70
70,97
76,70
67,62
81,66
87,83
69,81
88,87
70,85
73,72
84,86
83,78
103,97
69,71
89,76
60,94
74,86
71,86
83,79
87,76
75,79
68,79
89,77
69,88
81,84
76,93
86,87
75,73
73,86
74,75
79,67
77,69
74,65
79,76
86,78
84,83
80,80
99,79
80,102
71,76
79,102
71,75
87,80
82,78
93,88
84,73
76,75
77,64
79,80
94,82
99,97
79,80
82,86
65,92
94,65
82,75
89,94
78,97
100,81
71,82
88,81
83,83
98,76
65,81
88,83
72,70
83,75
71,72
79,70
77,72
82,76
74,88
65,78
71,81
61,91
62,79
76,73
97,80
80,65
77,76
73,83
77,92
97,71
80,82
84,80
89,91
76,71
67,81
85,67
74,70
66,66
88,83
77,73
69,63
82,71
82,89
86,70
72,74
80,87
79,64
85,74
84,87
74,82
74,90
80,73
74,91
67,91
94,78
92,81
86,69
90,85
77,76
80,86
82,89
79,77
72,91
87,85
78,79
84,87
81,72
81,94
77,65
75,83
61,94
71,68
71,84
67,71
75,80
86,68
88,86
88,74
82,82
92,84
74,65
81,69
78,105
74,89
76,82
69,84
84,87
68,99
79,84
84,81
84,91
83,87
78,82
92,73
65,80
92,90
76,75
75,73
94,87
84,74
99,89
87,93
96,78
96,73
97,87
82,92
75,87
66,72
90,68
83,84
72,75
89,79
74,75
81,85
87,84
81,83
75,66
90,84
63,80
85,75
66,95
83,80
80,81
76,82
88,70
77,93
90,84
78,72
98,69
69,83
71,68
61,88
64,71
84,90
70,86
95,54
80,74
90,78
71,73
88,89
103,93
80,82
73,88
93,80
86,100
89,83
70,96
86,89
91,87
75,63
79,85
77,74
84,84
81,78
77,75
76,74
69,74
85,63
93,91
106,99
83,74
79,71
68,89
63,88
83,92
89,62
96,83
85,91
70,79
83,87
83,85
82,76
84,77
